case_id,ntsb_occurrence,ntsb_finding_codes,ntsb_probable_cause,model_occurrence,model_top3,model_finding_codes,model_probable_cause,model_confidence,model_abstained,occurrence_correct,top3_correct,category,tool_that_would_fix_it,model_cost_usd
WPR20CA299,600120,['0206103044' '0302202082' '0107101024'],"The pilot's inadequate fuel planning, which resulted in a loss of engine power due to fuel exhaustion and a collision with trees and terrain. 
",Unknown,Unknown|Unknown|Unknown,,"The evidence provided consists only of aircraft/pilot metadata (make/model, engine type, certificate level, hours, VMC conditions, minor injury) with no description of the actual occurrence — no phase of flight, no sequence of events, no system or component findings, and no narrative detail about what malfunctioned or what pilot action was involved. This is insufficient to determine a probable cause; doing so would require fabricating an event sequence not present in the supplied evidence.",0.05,True,,,,,0.024179
WPR20CA146,251900,['0206301544' '0202151044'],The pilot's diverted attention while taxing which resulted in his failure to maintain clearance from the skip loader during taxi.,Collision with object (taxi),Collision with object (taxi)|Ground collision|Loss of directional control (taxi),Pilot inattention/distraction|Improper taxi clearance/directional control|Object/obstacle on taxiway,"The pilot's diverted attention (setting up the GPS) during taxi resulted in the airplane drifting left and colliding with a skip loader parked at the edge of the taxiway, causing substantial damage to the right horizontal stabilizer.",0.85,False,,,,,0.022647999999999998
WPR21LA342,100194,['0204101539' '0107101022'],"The fuelers addition of the incorrect fuel to the fuel tanks which resulted in a total loss of engine power.   
",Unknown,Loss of control|Landing gear collapse/retraction|Hard landing,Insufficient evidence,"The evidence provided is too sparse to determine a probable cause. It contains only aircraft/pilot metadata (Beech 58, reciprocating engine, commercial pilot with 14,000 total hours and 6,500 hours in type) and a single weather observation (VMC, clear sky, wind 330 at 10kt) plus injury severity (Serious). There is no narrative, no description of the flight phase, no mechanical findings, no ATC/witness statements, and no NTSB finding codes to indicate what actually went wrong (e.g., engine failure, gear malfunction, runway excursion, loss of control, midair, etc.). A high-time, high-hours-in-type commercial pilot in clear VMC conditions rules out obvious weather or inexperience factors, but without an occurrence description or findings, any specific probable cause would be speculation.",0.05,True,,,,,0.027399
WPR22FA298,450401,['0204152044' '0206300044' '0102311005' '0206102044' '0303507584'],"The pilot’s continued operation of the airplane with known mechanical malfunctions with the flight displays, and his continued flight into instrument meteorological conditions, which resulted in an inflight collision with terrain while maneuvering.",LOC-I,LOC-I|CFIT|SCF-NP,Personnel issue-Action/decision-Aircraft control-Pilot|Personnel issue-Psych/physio-Perception/orientation-Spatial disorientation-Pilot|Environmental issue-Physical environment-Weather/atmospheric-Fog-Effect on personnel|Environmental issue-Physical environment-Weather/atmospheric-Clouds-Effect on personnel|Aircraft-Instrument/panel-Attitude/direction indicator-Malfunction|Personnel issue-Use/misuse-Substance-Sedating medication-Pilot|Personnel issue-Judgement/decision making-Decision making/judgement-Pilot,"The pilot's decision to continue a personal flight into an area of deteriorating visibility and a low fog/cloud layer (overcast around 800 ft) with a known-inoperative primary flight display and multi-function display, resulting in spatial disorientation and a subsequent loss of airplane control at low altitude. The airplane's erratic ADS-B track (unexplained turns, climbs, and descents accompanied by intermittent ADS-B contact losses near the reported fog bank) is consistent with the pilot inadvertently entering instrument meteorological conditions without functioning primary flight instrumentation and losing situational awareness/control. Contributing to the accident were the pilot's degraded ability to safely operate the airplane due to use of doxepin, a sedating antidepressant medication with FAA disqualifying/impairing effects, and his operation of the airplane despite prior maintenance advice that it was not airworthy for flight due to PFD/MFD failures. The pilot's underlying dilated cardiomyopathy was identified at autopsy but was not determined to be a factor in the accident sequence.",0.55,False,,,,,0.046416
ERA20LA234,550850,['0106204120' '0201205044'],"The pilot’s impairment or distraction due to an acute stroke, which resulted in an unstabilized approach and subsequent loss of airplane control during landing.
",Abnormal runway/landing contact - Loss of control on landing,Abnormal runway contact (bounced landing)|Loss of directional control during landing roll|Nose-over/roll-over on landing,Pilot - improper flare/bounced landing recovery|Pilot - failure to maintain directional control|Aircraft - nose-over/flip during landing roll|Environmental - not a factor (VMC)|Personnel issue - pilot medical history (not determined causal),"The pilot's failure to maintain control of the airplane during landing, which resulted in a bounced landing, a subsequent loss of directional control, a runway excursion, and the airplane nosing over/flipping. Witness observations of a high approach, a long touchdown point, and a double bounce followed by a left bank and departure from the runway side are consistent with an improperly executed flare/bounce recovery rather than a mechanical malfunction, as postaccident examination of the airframe and engine revealed no preimpact anomalies that would have precluded normal operation. The pilot's age-related medical conditions (evidence of an old lacunar stroke, cardiovascular disease) could not be excluded as a contributing factor, but there was no specific evidence that a sudden incapacitation event occurred during the approach.",0.55,False,,,,,0.035181000000000004
CEN23LA052,401240,['0106200020'],The pilot’s failure to maintain control of the airplane that resulted in an uncontrolled descent and overstress of the airframe during his recovery of the airplane.,UNK,Unknown|Unknown|Unknown,,"The evidence provided is limited to basic aircraft/pilot metadata (make/model, engine type, pilot certificate and hours, VMC weather, no injuries) with no narrative description of the event sequence, no findings data, and no indication of what occurrence type occurred (e.g., landing gear collapse, runway excursion, engine failure, etc.). There is nothing in the supplied evidence indicating what actually happened during the flight or what caused it. Determining probable cause from this data alone would require fabricating details not present in the record, which is not permissible. Abstaining is the appropriate response given insufficient evidence.",0.05,True,,,,,0.023701
WPR20LA306,251094,['0106202021' '0102321006'],"The failure of the right landing gear due to fatigue cracking.
",Gear collapse,Gear collapse|Loss of control on ground|Abnormal runway/landing contact,Landing gear attach bolts - fatigue failure|Material fatigue - reverse bending fatigue cracking|Landing gear - inadequate inspection/maintenance (undetected fatigue),"The fatigue failure of multiple right main landing gear attachment bolts, which resulted in the collapse of the right main landing gear during taxi after landing.",0.75,False,,,,,0.028367000000000003
DCA24FA017,552320,['0204101045'],"The takeoff by the flight crew of N269AA, without a takeoff clearance, which resulted in a collision with N510HM that was landing on an intersecting runway. Contributing to the accident was the N269AA crew’s expectation bias and distraction.",Collision on runway (ground collision between two aircraft),Collision on runway (ground collision between two aircraft)|Runway incursion - ATC/pilot deviation|Loss of separation resulting in collision,Insufficient evidence provided to identify causal pilot/ATC deviation|ASDE-X alert only 11 seconds prior to collision|N269AA CVR not recording (unrelated to cause),"The furnished factual narrative documents a runway/ground collision between N510HM and N269AA at Houston Hobby (HOU), detected by the ASDE-X surface radar only ~11 seconds before impact. However, the excerpt provided is dominated by background material (controller certifications/currency, aircraft systems descriptions, airport statistics, and an extensive but ultimately incomplete discussion of the accident airplane's CVR history/inoperability) and does not contain the actual sequence of clearances, pilot readbacks, taxi/takeoff/landing roles, or ATC instructions that would establish which aircraft deviated from its clearance or right-of-way, or whether a controller error, pilot deviation, or vehicle/aircraft incursion caused the loss of separation. The narrative also cuts off mid-sentence (""A failed test results in ..."") indicating it is incomplete. Given this, I cannot responsibly assign a specific probable cause (e.g., pilot deviation vs. ATC clearance error vs. runway incursion by a taxiing aircraft) from the evidence supplied.",0.25,True,,,,,0.043646000000000004
CEN21LA471,508390,['0206304044' '0106204021' '0303404581' '0303402081'],"The airplane’s encounter with gusting wind conditions and low-level wind shear on final approach, which resulted in a loss of control, an aerodynamic stall, and a subsequent hard landing.
",UNKNOWN,Unknown|Unknown|Unknown,,"Insufficient evidence to determine probable cause. The provided evidence set contains only aircraft/registration identifiers, pilot certificate and experience totals, a single METAR observation, and injury level. There is no narrative description of the flight, phase of flight, sequence of events, damage description, or any NTSB findings/factors. With no information about what actually happened (e.g., takeoff, landing, in-flight event, maneuvering, mechanical issue, etc.), any occurrence classification or causal finding would be speculation rather than an evidence-based determination. Abstaining rather than fabricating a plausible-sounding cause.",0.05,True,,,,,0.026767000000000003
CEN21LA132,402900,['0103561001'],"The failure of the right-side window inner pane for reasons that could not be determined based on available evidence. 
",Windshield/Structural Failure,Windshield failure|Miscellaneous/Other structural failure|In-flight diversion,Aircraft-Windshield-Fatigue/wear|Material/component failure - windshield|Component reached/exceeded service life,"The in-flight cracking of the right windshield inner pane due to the windshield having reached/exceeded its expected service life, resulting in a material failure and diversion; the failure mode could not be conclusively determined because the windshield was discarded before further testing.",0.55,False,,,,,0.024506
ANC20LA059,350337,['0103554001' '0103554006'],"The fatigue fracture of the American Iron and Steel Institute (AISI) 1025 carbon steel rudder post, which resulted in structural failure of the rudder. Contributing to the fatigue failure was the post’s susceptibility to fatigue cracking under normal service conditions.
",Airframe/component failure - fatigue (in-flight structural failure),Airframe/component failure - fatigue (in-flight structural failure)|Loss of aircraft control (partial)|Miscellaneous/other,Aircraft-Rudder assembly-Fatigue-Failure|Aircraft-Rudder post-Material/design-Contributing|Aircraft-Rudder post-Corrosion/surface damage-Contributing|Aircraft-Rudder post-Fatigue strength-Not specified/Inadequate,"The in-flight fatigue fracture of the rudder post above the upper hinge point due to the inadequate fatigue strength of the original AISI 1025 carbon steel material (later superseded in production by AISI 4130 low-alloy steel), exacerbated by corrosion pitting and surface damage at the fracture origin, which resulted in a loss of normal rudder/directional control during the traffic pattern.",0.72,False,,,,,0.036621999999999995
WPR22LA364,450500,['0303104082' '0106201221' '0302203282'],The pilot’s encounter with atmospheric conditions where the lift was not sufficient to maintain flight.,Unknown,Unknown|Hard landing|Loss of control on ground,Insufficient data,"The evidence provided does not include any narrative, event sequence, phase of flight, or damage/finding details describing what actually happened during the accident flight — only aircraft type (Schleicher ASW-20 glider), pilot certification/experience, weather conditions (VMC, wind 300° at 10 gusting 16 kt), and injury outcome (none). While the gusty crosswind component at the reporting station is suggestive of a possible wind-related landing/ground-handling event common to gliders, there is no factual finding (e.g., ground loop, hard landing, wingtip strike, runway excursion, loss of directional control) to support a specific probable cause determination. Asserting a specific occurrence type and causal finding from this data alone would be speculation rather than an evidence-based determination.",0.15,True,,,,,0.0299862
CEN24FA046,150210,['0206151044' '0206304044' '0106201020' '0204152044' '0303504584'],"The pilot’s decision to take off with ice/snow contamination on the airplane’s wings, which resulted in an aerodynamic stall and impact with terrain.",LOC-I,LOC-I|ATM (Aerodynamic stall/spin)|OTHR (Loss of control - icing contamination),Aircraft-Wing-Ice/frost/snow contamination-Not removed-Pilot|Personnel issues-Task performance-Preflight/pre-takeoff inspection-Inadequate-Pilot|Environmental issues-Physical environment-Precipitation-Snow-Effect on operation|Personnel issues-Decision making-Continued takeoff with known contamination|Aircraft-Anti-ice/deice system-Not used prior to takeoff,"The pilot's decision to attempt takeoff with snow/ice contamination on the wings and horizontal stabilizer, without deicing/anti-icing treatment (none available at the departure airport), which resulted in an aerodynamic stall and subsequent loss of control shortly after rotation. Contributing was the pilot's inadequate preflight inspection/removal of snow and ice per the airplane manufacturer's published procedures and service letter warning against takeoff with contaminated wings.",0.82,False,,,,,0.037603
CEN20CA405,552490,['0204152044' '0303602091' '0302300091' '0302202091'],"The pilot’s decision to land at night without runway lighting, which resulted in a collision with an object.
",Unknown,Unknown|Unknown|Unknown,,"Insufficient evidence to determine probable cause. The provided data consists only of aircraft/pilot metadata (make/model, engine type, pilot certificates and hours, weather condition, injury level) with no narrative, sequence of events, findings, or description of the actual occurrence (e.g., what malfunctioned, phase of flight, contributing factors). Without a factual narrative or event/finding codes describing what happened, any determination of probable cause would be speculation rather than analysis grounded in evidence.",0.05,True,,,,,0.024734
WPR21LA362,552093,['0102324201' '0107101524' '0500000000'],A loss of hydraulic fluid and failure of the right brake for reasons that could not be determined due to a lack of available evidence.,240,Loss of control on ground|Ground loop/swerve|Runway excursion,Aircraft-Wheel brake system-Failure|Aircraft-Hydraulic fluid-Leak|Personnel issues-Maintenance-Improper repair (not part of finding)|Aircraft-Landing gear-Right wing contact/damage,"The failure of the right main landing gear brake during the landing roll (due to a hydraulic fluid leak in the brake system) resulted in asymmetric braking, causing the pilot to lose directional control and the airplane to ground loop, contacting the right wingtip and sustaining substantial damage to the right aileron and elevator. Contributing to the accident was the pilot's/owner's use of the airplane despite a known preexisting right brake pedal discrepancy that had only been temporarily addressed (bled) rather than fully repaired prior to the flight, and the subsequent discarding of the failed hydraulic line/fitting by the mechanic prevented determination of the specific failure mode.",0.72,False,,,,,0.030631000000000002
ANC23LA073,553300,['0204102544' '0204101544' '0106102520'],The pilot’s delayed go-around decision with insufficient runway remaining.,Unknown,Unknown|Unknown|Unknown,,"Insufficient evidence to determine probable cause. The provided data consists only of aircraft/pilot metadata (Cessna A185F, private pilot with 2730.8 total hours/673.2 in type, VMC conditions per METAR, no injuries) with no narrative describing the sequence of events, damage, or contributing factors (e.g., no mention of a runway excursion, hard landing, gear collapse, engine issue, loss of control, etc.). Without a factual narrative or findings data, any occurrence code or probable cause would be a fabrication rather than a data-supported determination.",0.05,True,,,,,0.024805
CEN20CA240,453120,['0206304044' '0302204781'],"The pilot's failure to maintain adequate clearance from a fence while hovering.
",UNK,Unknown|Unknown|Unknown,,"Insufficient evidence to determine probable cause. The provided record contains only structured metadata (aircraft make/model, registration, engine type, pilot certificate level, weather condition, and injury level) with no narrative description of the accident sequence, no findings/factors data, and no description of flight phase, maneuver, or damage. There is nothing describing what actually happened during the flight (e.g., loss of control, hard landing, mechanical failure, wire strike, etc.), so no occurrence type or causal determination can be responsibly made from this evidence alone.",0.05,True,,,,,0.023621
WPR20CA166,550240,['0206304044' '0303404591'],"The pilot's failure to maintain airplane control during landing in gusting wind condition which resulted in a collision with terrain.
",UNK,Unknown|Unknown|Unknown,,"Insufficient evidence to determine probable cause. The provided data consists only of aircraft/pilot metadata (make/model Aviat A-1, reciprocating engine, private pilot with 477 total hours/39 in type, VMC conditions, no injuries) with no narrative description of the sequence of events, no damage information, no phase of flight, and no findings/factors data. There is nothing here describing what actually happened (e.g., loss of control, hard landing, engine failure, runway excursion, etc.), so any occurrence or cause code would be a guess rather than a determination supported by evidence.",0.05,True,,,,,0.023545999999999997
WPR23LA294,400190,['0206151044' '0107101000'],Partial loss of power for undetermined reasons. Contributing to the accident was the siphoning of fuel from the left-wing fuel filler port due to wear on the fuel filler cap.,LOC-G / Fuel Starvation (Total Loss of Engine Power - Fuel Related),Loss of engine power (total) - fuel starvation|Fuel exhaustion/imbalance in flight|Forced landing/off-airport landing,Aircraft-Fuel system-Filler cap/port-Worn/Not specified|Fluid-Fuel-Leak-Undetermined source|Personnel issues-Fuel management-Inadequate monitoring|Aircraft-Fuel system-Fuel quantity indication-Discrepancy between tanks|Environmental issues-Not a factor,"The loss of engine power was the result of fuel starvation caused by an in-flight loss of fuel from the left wing tank, most likely through the fuel filler port (which exhibited wear marks and fuel staining consistent with fuel exiting the cap in flight), compounded by an unexplained and asymmetric depletion of fuel between the two tanks that the pilot did not fully account for until fuel quantity became critically low. Blue fuel staining found on the underside of the carburetor bowl and cowling postaccident, though not reproduced during an otherwise normal post-accident engine run, suggests a secondary or intermittent fuel leak at the carburetor may have also contributed to fuel loss during the flight. The pilot's calculated fuel endurance (2.5–3.1 hours for a 2-hour planned flight) should have provided an adequate margin; however, unmonitored/unexpected fuel loss from the airframe left insufficient usable fuel to complete the flight, resulting in a total loss of engine power and a forced landing during which the airplane struck a metal post and a small structure, sustaining substantial damage.",0.55,False,,,,,0.040875
WPR21LA328,253082,['0106202008' '0302204086'],"The pilot’s inability to maintain control of the airplane during taxi after it encountered the prop wash from a larger airplane that was conducting a high-power engine run on the same taxiway.
",UNK,Unknown|Unknown|Unknown,,"Insufficient evidence to determine probable cause. The provided data contains only aircraft/pilot metadata (Piper PA-18-150, private pilot with 879 total hours all in type, VMC conditions, no injuries) with no narrative description of the event sequence, no occurrence/phase-of-flight details, no damage information, and no findings related to mechanical, weather, or human-factors causes. Without a factual narrative or coded findings describing what actually happened during the flight, any specific probable cause determination would be speculative.",0.05,True,,,,,0.024923999999999998
ERA23LA289,550232,['0206200041' '0104621013'],"The mechanics’ improper torquing of the main rotor blade dampers, which resulted in a ground resonance event during landing.",UNK,Unknown|Unknown|Unknown,,"Insufficient evidence to determine probable cause. The provided data consists only of aircraft/pilot metadata (Hughes 269A, ATP-rated pilot with 8,460 total hours and 1,120 hours in type, VMC conditions, no injuries) and a single METAR observation. There is no narrative description of the event, no sequence of occurrences, no damage information, and no NTSB findings text included. This information describes the accident context but does not indicate what happened (e.g., no mention of a hard landing, loss of control, mechanical failure, wire strike, etc.). Without a narrative or coded findings from the investigation, any probable cause determination would be a guess rather than an evidence-based conclusion.",0.05,True,,,,,0.02473
CEN22FA240,507500,['0106100008' '0303404582' '0303403582' '0303401582'],The glider’s encounter with gusting tailwind and downdraft conditions that the pilot was unable to overcome.,LOC-I,LOC-I|CFIT|OTHR,Weather condition - Downdraft/microburst|Weather condition - Gust front/outflow boundary|Weather condition - Convective activity/thunderstorm in vicinity|Personnel issue - Encounter with weather|Aircraft control - Not attained/maintained|Environmental issue - Wind shear,"The glider pilot's encounter with a strong downdraft/gust front associated with a dissipating convective (rain shower) cell while on the downwind leg of the traffic pattern, which resulted in a rapid, unarrested descent and loss of glider control at low altitude, leading to impact with terrain. Contributing to the accident was the pilot's continuation of the approach into deteriorating convective weather conditions (including virga and an outflow boundary capable of producing surface winds up to 67 knots) that were not reflected in the pre-flight weather forecast.",0.55,False,,,,,0.038473
ERA23FA321,300470,['0500000000'],A collision with trees during takeoff for reasons that could not be determined based on available information.,LOC-I,LOC-I|ARC|UNK,Personnel issues-Task performance-Aircraft control-Not attained/maintained-Pilot|Environmental issues-Physical environment-Terrain condition-Trees-Contributed to outcome|Aircraft-Powerplant-Not a factor (engine test run normal),"The pilot's loss of airplane control during the takeoff/initial climb for reasons that could not be determined based on the available evidence, which resulted in the airplane departing the runway environment and impacting trees. No pre-impact mechanical or engine anomalies were found; a post-accident engine run was normal and flight control continuity was confirmed. The witness's report of reduced engine noise consistent with an aborted takeoff, combined with the accident site located about 50 ft laterally from the runway centerline in trees with the airplane inverted and suspended above the ground, suggests the airplane became airborne (intentionally or not) and then experienced a loss of control, possibly an aerodynamic stall/departure at low altitude, before striking trees. The pilot's restraint was found unlatched, but this could not be conclusively tied to the cause of the accident.",0.35,False,,,,,0.03625
WPR20LA126,505190,['0102302010' '0204103044' '0303103081'],"The pilot's failure to use carburetor heat while operating in conditions conducive to serious carburetor icing, which resulted in a total loss of engine power. 
",Loss of engine power (total),Loss of engine power (total)|Collision with terrain/object (forced landing)|Loss of control in flight,Fuel system - contamination (water)|Carburetor icing - conducive conditions not mitigated|Use of carburetor heat - not performed|Preflight inspection - inadequate/not performed by pilot|Personnel issue - pilot fuel system maintenance/sumping - not performed,"A loss of engine power during the traffic pattern for reasons that could not be conclusively determined postaccident, likely due to a combination of water contamination in the fuel system (water had previously been found in the fuel tanks/carburetor, and the pilot did not sump the system before the accident flight) and/or carburetor icing (ambient conditions were near the serious-icing range and the pilot reported rarely using carburetor heat, which was found in the OFF position after the accident). The subsequent loss of power at low altitude in the traffic pattern resulted in an off-airport forced landing/collision with terrain (a roadway), substantially damaging the airplane. Postaccident engine examination found no mechanical anomalies (good compression, spark, clear fuel lines), though a thimble of water was found in the fuel strainer and the carburetor bowl was too damaged in the crash to be conclusively examined.",0.5,False,,,,,0.038746
