# MODEL'S OPINION, NOT GROUND TRUTH. abl_top1_correct/abl_top3_correct are transferred
# from Andy's hand labels only where the answer string didn't change; where it changed,
# they come from an LLM equivalence judge (Haiku) that saw no case evidence, only the two
# verdicts being compared (abl_*_source == 'judge'). See scripts/ablation_phase.py.
case_id,has_narrative,ntsb_occurrence,ntsb_label,orig_model_occurrence,abl_model_occurrence,answer_changed,orig_top1_correct,abl_top1_correct,abl_top1_source,orig_top3_correct,abl_top3_correct,abl_top3_source,orig_abstained,abl_abstained,judge_reason,abl_cost_usd
CEN20CA405,False,552490,Landing-landing roll — Collision during takeoff/land,Landing - abnormal runway contact,Unknown,True,False,False,transferred,False,False,transferred,True,True,,0.024734
WPR21LA362,True,552093,Landing-landing roll — Dragged wing/rotor/float/other,Loss of directional control (ground loop),240,True,True,False,judge,True,False,judge,False,False,"Candidate predicted ""Ground loop/swerve"" as the primary occurrence, but NTSB categorized it as ""Dragged wing/rotor/float/other""—different occurrence types despite related physical events.",0.030631
ANC23LA073,False,553300,Landing-aborted after touchdown — Runway excursion,Unknown,Unknown,False,False,False,transferred,False,False,transferred,True,True,,0.024805
CEN20CA240,False,453120,Maneuvering-hover — Controlled flight into terr/obj (CFIT),Unknown,UNK,True,False,False,transferred,True,True,transferred,True,True,,0.023621
WPR20CA166,False,550240,Landing — Loss of control in flight,LOC-G,UNK,True,False,False,transferred,False,False,transferred,True,True,,0.0235459999999999
WPR23LA294,True,400190,Enroute — Fuel related,Fuel exhaustion/starvation,LOC-G / Fuel Starvation (Total Loss of Engine Power - Fuel Related),True,True,False,judge,True,True,judge,False,False,"Top-1 fails because candidate added LOC-G classification (not in NTSB's category) and claimed total loss vs. NTSB's partial loss; top-3 succeeds because ""Loss of engine power (total) - fuel starvation"" matches the fuel-related underlying cause the NTSB identified.",0.040875
WPR21LA328,False,253082,Taxi-from runway — Prop/jet/rotor blast/suction,abstain,UNK,True,True,True,transferred,True,True,transferred,True,True,,0.0249239999999999
ERA23LA289,False,550232,Landing — Ground resonance,Unknown/Insufficient evidence,UNK,True,False,False,transferred,False,False,transferred,True,True,,0.02473
CEN22FA240,True,507500,Approach-VFR pattern base — Loss of lift,CTOL/LOC-I,LOC-I,True,True,False,judge,True,False,judge,False,False,"NTSB occurrence is ""Loss of lift"" (aerodynamic), while candidate's top guess is ""LOC-I"" (loss of control)—distinct phenomena; none of top-3 guesses match.",0.038473
ERA23FA321,True,300470,Takeoff — Collision with terr/obj (non-CFIT),LOC-I,LOC-I,False,True,True,transferred,True,False,judge,False,False,"Candidate's top occurrence (LOC-I) describes loss of control, whereas NTSB's classification is takeoff collision with terrain—different occurrence types despite loss of control being a possible contributing factor.",0.03625
WPR20LA126,True,505190,Approach-VFR pattern crosswind — Fuel related,LOC-I,Loss of engine power (total),True,True,False,judge,True,False,judge,False,False,"Candidate identified ""Loss of engine power"" as top occurrence, but NTSB categorized it as ""Approach-VFR pattern crosswind — Fuel related""; these classify the accident differently (symptom vs. underlying cause/phase).",0.038746
ERA23LA014,False,502901,Approach-IFR final approach — Birdstrike,Gear-up landing / landing gear not extended,Unknown,True,False,False,transferred,False,False,transferred,True,True,,0.024173
CEN20LA354,True,400240,Enroute — Loss of control in flight,Loss of control in flight,LOC-I,True,True,True,judge,True,True,judge,False,False,"Candidate's top occurrence ""LOC-I"" directly matches NTSB's ""Loss of control in flight"" category.",0.042402
WPR23LA130,True,551330,Landing-flare/touchdown — Sys/Comp malf/fail (non-power),Landing gear collapse (nose),Landing gear collapse (nose gear),True,True,True,judge,True,True,judge,False,False,Landing gear collapse (nose gear) is a specific instance of the NTSB's system/component malfunction during landing-flare/touchdown phase; both identify the same scissor link failure event.,0.0354839999999999
CEN20LA401,True,508490,Approach-VFR pattern final — Collision during takeoff/land,Collision with obstacle(s) (powerlines) during approach,Collision with obstacle/object (CTOL/wire strike),True,True,True,judge,True,True,judge,False,False,Both identify collision with utility pole/wires during landing approach; candidate's top-3 option explicitly names this obstacle strike.,0.0296069999999999
CEN24LA061,True,401340,Enroute-climb to cruise — Powerplant sys/comp malf/fail,Loss of engine power (partial) - Propeller/governor malfunction,Loss of engine power (partial),True,True,False,judge,True,False,judge,False,False,Candidate identified consequences (engine power loss) rather than the root occurrence category (powerplant component malfunction/failure of the propeller governor spring pin).,0.03012
DCA23LA192,False,300320,Takeoff — Runway incursion veh/AC/person,Unknown,Unknown,False,False,False,transferred,False,False,transferred,True,True,,0.024589
