case_id,ntsb_occurrence,ntsb_finding_codes,ntsb_probable_cause,model_occurrence,model_top3,model_finding_codes,model_probable_cause,model_confidence,model_abstained,occurrence_correct,top3_correct,category,tool_that_would_fix_it,model_cost_usd
"CEN21LA132","402900","['0103561001']","The failure of the right-side window inner pane for reasons that could not be determined based on available evidence. 
","Aircraft structural failure","Aircraft structural failure|Windshield/window failure|Miscellaneous/other","Aircraft-Windshield-Fatigue/wear failure|Aircraft-Windshield-Age/exceeded service life","The in-flight failure (cracking) of the right windshield's inner pane due to fatigue/age-related degradation, having accumulated 3,152.3 flight hours and 2,235 cycles since manufacture in 1998, which the window manufacturer stated had met or exceeded its expected life cycle.","0.65","False","0","1","","","0.032784"
"ANC20LA059","350337","['0103554001' '0103554006']","The fatigue fracture of the American Iron and Steel Institute (AISI) 1025 carbon steel rudder post, which resulted in structural failure of the rudder. Contributing to the fatigue failure was the post’s susceptibility to fatigue cracking under normal service conditions.
","Structural Failure","Structural Failure|Loss of Directional Control|In-flight Component Failure","Aircraft-Structure-Rudder-Fatigue/Fracture|Aircraft-Structure-Material Fatigue|Aircraft-Design/Material-Inadequate for fatigue loads|Miscellaneous-Manufacturer-Material substitution not fully implemented","The in-flight fatigue fracture of the rudder post above the upper hinge point, which resulted in a loss of directional/yaw control during initial climb. The fracture was caused by the rudder post material (AISI 1025 carbon steel), which had bending stresses closer to its endurance limit than the later-specified AISI 4130 low-alloy steel, combined with corrosion/surface damage that served as fatigue crack initiation sites, in a part not originally designed to account for fatigue loading.","0.82","False","1","1","","","0.043329"
"WPR22LA364","450500","['0303104082' '0106201221' '0302203282']","The pilot’s encounter with atmospheric conditions where the lift was not sufficient to maintain flight.","LOC-I","LOC-I|ARC|SCF-PP","Aircraft-Performance-Stall/spin|Environmental-Wind gust|Personnel-Judgment/decision-making","Insufficient narrative/factual evidence (only structured metadata provided: aircraft type, pilot certification/hours, weather, phase of flight, and injury outcome) to determine a specific probable cause with confidence. Based on the available data—a glider (ASW-20) accident during the maneuvering phase in VMC with gusty surface winds (30010G16KT) and no injuries—a plausible but unconfirmed scenario is loss of aircraft control (e.g., aerodynamic stall/spin while thermaling or maneuvering) possibly influenced by gusty wind conditions, but this cannot be verified without the NTSB narrative, findings, or investigator remarks.","0.25","True","0","0","B","","0.037893"
"CEN24FA046","150210","['0206151044' '0206304044' '0106201020' '0204152044' '0303504584']","The pilot’s decision to take off with ice/snow contamination on the airplane’s wings, which resulted in an aerodynamic stall and impact with terrain.","LOC-I","LOC-I|ARC|SCF-PP","Aircraft-Fluid ice/frost/snow-Wing-Contaminated|Personnel issues-Task performance-Preflight inspection-Pilot|Personnel issues-Decision making/judgment-Pilot|Environmental issues-Icing conditions-Effect on operation|Personnel issues-Delayed action-Deicing/anti-icing-Pilot","The pilot's decision to attempt takeoff with snow/ice contamination on the wings without deicing or anti-icing treatment, which resulted in an aerodynamic stall and loss of control shortly after rotation. Contributing was the lack of deicing/anti-icing services at the departure airport and the pilot's inadequate preflight inspection/removal of contamination as required by the POH and manufacturer service letter.","0.78","False","1","1","","","0.051087"
"CEN20CA405","552490","['0204152044' '0303602091' '0302300091' '0302202091']","The pilot’s decision to land at night without runway lighting, which resulted in a collision with an object.
","Landing - abnormal runway contact","Landing - abnormal runway contact|Landing - loss of control on ground|Landing - hard landing","Insufficient evidence to determine specific cause","The available evidence is limited to structured metadata (aircraft type, pilot certificate/hours, weather, phase of flight, and injury level) with no narrative description of the sequence of events, aircraft damage, runway/surface conditions, or specific pilot actions. While the data indicate a landing-phase occurrence in VMC with no injuries involving an experienced commercial/CFI-rated pilot (435 total hours, 303 in type) flying a Piper PA28, this is consistent with a range of common landing mishaps (e.g., hard landing, bounced landing, loss of directional control, or gear-related event) but there is not enough specific evidence to distinguish among these or to identify a definitive probable cause per NTSB standards.","0.15","True","0","0","B","","0.042414"
"WPR21LA362","552093","['0102324201' '0107101524' '0500000000']","A loss of hydraulic fluid and failure of the right brake for reasons that could not be determined due to a lack of available evidence.","Loss of directional control (ground loop)","Loss of directional control (ground loop)|Landing gear/brake system failure|Runway excursion","Right brake system - failure (hydraulic loss of pressure)|Maintenance - inadequate (brake system repair prior to flight)|Personnel issue - directional control not maintained during landing roll","The failure of the right brake system due to a loss of hydraulic pressure during landing roll, which resulted in the pilot's inability to maintain directional control and a subsequent ground loop. Contributing to the accident was inadequate maintenance/repair of a previously known brake deficiency prior to the flight.","0.72","False","1","1","","","0.037395000000000005"
"ANC23LA073","553300","['0204102544' '0204101544' '0106102520']","The pilot’s delayed go-around decision with insufficient runway remaining.","Unknown","Loss of control on landing|Hard landing|Runway excursion","","The provided evidence is limited to aircraft/pilot metadata (Cessna A185F, private pilot with 2730.8 total hours/673.2 in type), a METAR showing VMC conditions, phase of flight (landing), and no injuries. There is no narrative description of the actual sequence of events, aircraft damage, or specific findings (e.g., whether there was a hard landing, gear collapse, ground loop, loss of directional control, runway excursion, or animal/wildlife strike). Given the tailwheel-capable A185F is commonly involved in landing loss-of-control/groundloop events, that is a plausible guess, but without narrative or specific findings data this cannot be reliably determined. Abstaining due to insufficient evidence to specify probable cause with confidence.","0.15","True","0","0","B","","0.0522441"
"CEN20CA240","453120","['0206304044' '0302204781']","The pilot's failure to maintain adequate clearance from a fence while hovering.
","Unknown","Loss of control|Hard landing|Object/terrain strike","","The evidence provided (Schweizer 269C helicopter, reciprocating engine, private pilot, VMC, maneuvering phase of flight, no injuries) is too sparse to determine a specific probable cause. There is no narrative description, detailed findings, or sequence-of-events data indicating what specifically occurred during the maneuvering phase (e.g., loss of control, mast bumping, settling with power, object strike, hard landing). Additional factual data such as investigator narrative or findings codes would be needed for a reliable determination.","0.15","True","0","1","B","","0.060283800000000005"
"WPR20CA166","550240","['0206304044' '0303404591']","The pilot's failure to maintain airplane control during landing in gusting wind condition which resulted in a collision with terrain.
","LOC-G","LOC-G (Loss of control on ground)|Abnormal runway contact / hard landing|Nose-over/groundloop","Pilot experience - low hours in make/model (39 hrs)|Aircraft handling - tailwheel/directional control|Landing flare/touchdown technique","Based on the limited structured evidence available (taildragger Aviat A-1 Husky, private pilot with only 39 hours in type, landing phase, VMC, no injuries), the accident most likely involved a loss of directional control during the landing roll (e.g., groundloop or hard/abnormal touchdown) consistent with limited experience in a tailwheel aircraft type. However, no narrative, damage, or witness evidence was provided, so this determination is a plausible inference rather than a well-supported conclusion.","0.35","True","0","0","B","weather","0.036831"
"WPR23LA294","400190","['0206151044' '0107101000']","Partial loss of power for undetermined reasons. Contributing to the accident was the siphoning of fuel from the left-wing fuel filler port due to wear on the fuel filler cap.","Fuel exhaustion/starvation","Fuel starvation|Fuel exhaustion|Forced landing","Fuel system - fluid leak|Fuel selector/valve - not identified/unknown fault|Fuel supply - inadequate for flight|Preflight/inflight planning - fuel management|Postaccident examination - fuel leak at left wing filler port and carburetor","A loss of engine power during cruise flight due to fuel starvation, resulting from an in-flight fuel leak (evidenced by fuel staining on the left wing exterior near the filler port and blue fuel staining beneath the carburetor/cowling) that caused unequal and ultimately insufficient usable fuel to reach the engine, despite the pilot's fuel tank management. Contributing to the accident was the pilot's decision to continue the flight after noticing abnormal fuel quantity imbalance and the smell of fuel rather than diverting sooner, and the resulting forced landing to unsuitable terrain, which caused impact with a post and structure.","0.55","False","1","1","","","0.044715"
"WPR21LA328","253082","['0106202008' '0302204086']","The pilot’s inability to maintain control of the airplane during taxi after it encountered the prop wash from a larger airplane that was conducting a high-power engine run on the same taxiway.
","abstain","Loss of control on ground|Collision with object during taxi|Undetermined","Insufficient evidence","The provided evidence fields (aircraft type, pilot certificate/hours, weather, phase of flight = Taxi, no injuries) do not include any narrative, factual findings, or contributing factors describing what actually occurred during the taxi phase (e.g., loss of directional control, brake failure, collision with an object, terrain/surface condition, wind gust, etc.). With only these sparse categorical fields and no descriptive event detail, it is not possible to responsibly determine a specific probable cause. Additional evidence (narrative report, findings codes, or factual report text) would be needed to make a determination.","0.15","True","1","1","","","0.032511"
"ERA23LA289","550232","['0206200041' '0104621013']","The mechanics’ improper torquing of the main rotor blade dampers, which resulted in a ground resonance event during landing.","Unknown/Insufficient evidence","Hard landing|Loss of control on landing|Rollover/dynamic rollover","Insufficient evidence to determine finding codes","The provided evidence is limited to aircraft/pilot metadata (Hughes 269A helicopter, ATP-rated pilot with 8460 total / 1120 in-type hours), a fair-weather METAR (VMC, wind 250/11kt, clear, no precipitation), phase of flight 'Landing', and 'None' injury level. There is no accident narrative, damage description, wreckage/systems findings, or sequence-of-events data to indicate what specifically went wrong during the landing (e.g., hard landing, rollover, tail rotor strike, mechanical failure, wire strike, etc.). Given the pilot's high experience and benign weather, pilot inexperience and weather are unlikely primary factors, but without a narrative or finding codes I cannot responsibly determine a specific probable cause or occurrence type beyond noting it occurred during landing. I am abstaining from a definitive determination due to insufficient evidence.","0.15","True","0","0","B","","0.043836"
"CEN22FA240","507500","['0106100008' '0303404582' '0303403582' '0303401582']","The glider’s encounter with gusting tailwind and downdraft conditions that the pilot was unable to overcome.","CTOL/LOC-I","Loss of control in flight|Collision with terrain (CFIT)|Abnormal runway/pattern contact","Environmental issues-Wind shear/downdraft-Effect on operation|Environmental issues-Thunderstorm/gust front-Encounter|Personnel issues-Weather information-Not obtained/used|Aircraft-Performance/control parameters-Not attained/maintained|Environmental issues-Tailwind-Contributed to outcome","The glider pilot's encounter with a sudden, strong downdraft/outflow boundary and tailwind condition associated with a dissipating rain-shower cell while on the downwind/base leg of the traffic pattern, which resulted in an excessive, unrecoverable descent rate and subsequent uncontrolled collision with terrain. Contributing to the accident was the rapidly developing convective weather in the area (not reflected in the pilot's pre-departure weather briefing) and the pilot's continued approach into deteriorating wind conditions despite reporting ""heavy sink"" on downwind.","0.62","False","1","1","","","0.052164"
"ERA23FA321","300470","['0500000000']","A collision with trees during takeoff for reasons that could not be determined based on available information.","LOC-I","LOC-I|CFIT|ARC","Aircraft-Performance-Loss of control (undetermined cause)|Personnel issue-Task performance-Pilot-Aircraft control|Environmental issue-Physical environment-Object-Trees (contributing)|Not determined-Powerplant power loss/reduction (partial, unconfirmed)","The pilot's loss of control of the airplane during the takeoff roll/initial climb for reasons that could not be determined, which resulted in a collision with trees off the side of the runway. A witness heard an apparent reduction in engine power consistent with an aborted takeoff, but post-accident examination found no mechanical anomalies with the engine, flight controls, or airframe that would explain the loss of control. The unlatched 4-point restraint suggests it may have failed to restrain the pilot during the impact sequence, contributing to the severity of injuries, though this could not be conclusively tied to the cause of the accident.","0.45","False","1","1","","","0.066279"
"WPR20LA126","505190","['0102302010' '0204103044' '0303103081']","The pilot's failure to use carburetor heat while operating in conditions conducive to serious carburetor icing, which resulted in a total loss of engine power. 
","LOC-I","Loss of engine power (total)|Off-airport forced landing/collision with terrain|Loss of control in flight","Carburetor icing - conducive weather conditions|Use of carburetor heat - not performed - pilot|Fuel system - water contamination|Preflight inspection - not performed/inadequate - pilot|Personnel issues - engine power loss response","A total loss of engine power in the traffic pattern for reasons that could not be conclusively determined by postaccident examination (no mechanical anomalies were found), most consistent with carburetor icing given ambient temperature/dewpoint conditions that were on the border of serious icing at glide and cruise power, combined with the pilot's stated infrequent use of carburetor heat (which was found in the OFF position). A contributing factor was water contamination found in the fuel system, which the pilot knew about but did not re-check (sump) before the accident flight, and the pilot's delegation of the preflight inspection to the passenger. The subsequent loss of engine power at low altitude in the traffic pattern resulted in an off-airport forced landing/collision with terrain and a roadway.","0.55","False","1","1","","","0.047513999999999994"
